Codigo_region;Circunscripción_senatorial;Distrito;region;comuna;votos_validos_opcion;opcion;votos_opcion
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;CATEMU;4453;A FAVOR;4.453
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;CATEMU;6133;EN CONTRA;6.133
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;CATEMU;0;VOTOS EN BLANCO;207
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;CATEMU;0;VOTOS NULOS;423
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;HIJUELAS;6444;A FAVOR;6.444
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;HIJUELAS;7553;EN CONTRA;7.553
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;HIJUELAS;0;VOTOS EN BLANCO;213
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;HIJUELAS;0;VOTOS NULOS;695
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;LA CRUZ;7095;A FAVOR;7.095
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;LA CRUZ;8386;EN CONTRA;8.386
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;LA CRUZ;0;VOTOS EN BLANCO;167
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;LA CRUZ;0;VOTOS NULOS;631
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;LA LIGUA;11023;A FAVOR;11.023
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;LA LIGUA;16387;EN CONTRA;16.387
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;LA LIGUA;0;VOTOS EN BLANCO;475
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;LA LIGUA;0;VOTOS NULOS;1.105
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;LIMACHE;15790;A FAVOR;15.790
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;LIMACHE;19694;EN CONTRA;19.694
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;LIMACHE;0;VOTOS EN BLANCO;559
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;LIMACHE;0;VOTOS NULOS;1.452
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;LLAY-LLAY;6989;A FAVOR;6.989
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;LLAY-LLAY;11497;EN CONTRA;11.497
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;LLAY-LLAY;0;VOTOS EN BLANCO;288
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;LLAY-LLAY;0;VOTOS NULOS;688
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;LOS ANDES;18467;A FAVOR;18.467
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;LOS ANDES;28167;EN CONTRA;28.167
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;LOS ANDES;0;VOTOS EN BLANCO;473
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;LOS ANDES;0;VOTOS NULOS;1.691
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;NOGALES;5837;A FAVOR;5.837
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;NOGALES;10849;EN CONTRA;10.849
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;NOGALES;0;VOTOS EN BLANCO;272
