Codigo_region;Circunscripción_senatorial;Distrito;region;comuna;votos_validos_candidato;candidato;votos_candidato
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;CALDERA;0;VOTOS EN BLANCO;38
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;CALDERA;0;VOTOS NULOS;50
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;CHAÑARAL;1053;GABRIEL BORIC FONT;1053
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;CHAÑARAL;702;JOSE ANTONIO KAST RIST;702
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;CHAÑARAL;1273;YASNA PROVOSTE CAMPILLAY;1273
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;CHAÑARAL;278;SEBASTIAN SICHEL RAMIREZ;278
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;CHAÑARAL;51;EDUARDO ARTES BRICHETTI;51
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;CHAÑARAL;263;MARCO ENRIQUEZ-OMINAMI GUMUCIO;263
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;CHAÑARAL;1249;FRANCO ALDO PARISI FERNANDEZ;1249
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;CHAÑARAL;0;VOTOS EN BLANCO;20
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;CHAÑARAL;0;VOTOS NULOS;45
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;COPIAPO;11766;GABRIEL BORIC FONT;11766
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;COPIAPO;11840;JOSE ANTONIO KAST RIST;11840
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;COPIAPO;10378;YASNA PROVOSTE CAMPILLAY;10378
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;COPIAPO;4341;SEBASTIAN SICHEL RAMIREZ;4341
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;COPIAPO;770;EDUARDO ARTES BRICHETTI;770
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;COPIAPO;3207;MARCO ENRIQUEZ-OMINAMI GUMUCIO;3207
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;COPIAPO;13607;FRANCO ALDO PARISI FERNANDEZ;13607
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;COPIAPO;0;VOTOS EN BLANCO;160
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;COPIAPO;0;VOTOS NULOS;376
